Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Chrome 121.0.0.0,,,13-02-2024 07:09:31,13-02-2024 07:12:26,2m - 55.906s,PASSED
,,,,,,,
Test Cases/Login 01 - Sukses,Chrome 121.0.0.0,,,13-02-2024 07:09:31,13-02-2024 07:10:24,53.623s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,13-02-2024 07:09:31,13-02-2024 07:09:33,1.988s,PASSED
"navigateToUrl(""https://advantageonlineshopping.com/#/"")",Chrome 121.0.0.0,,,13-02-2024 07:09:33,13-02-2024 07:09:38,4.615s,PASSED
"click(findTestObject(""Object Repository/Record/Login/Page_Advantage Shopping/svg_CHECKOUT  (0.00)_menuUser""))",Chrome 121.0.0.0,,,13-02-2024 07:09:38,13-02-2024 07:09:43,5.342s,PASSED
"setText(findTestObject(""Object Repository/Record/Login/Page_Advantage Shopping/input_OR_username""), username)",Chrome 121.0.0.0,,,13-02-2024 07:09:43,13-02-2024 07:09:46,2.399s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Record/Login/Page_Advantage Shopping/input_Username_password""), password)",Chrome 121.0.0.0,,,13-02-2024 07:09:46,13-02-2024 07:09:47,1.464s,PASSED
"click(findTestObject(""Object Repository/Record/Login/Page_Advantage Shopping/button_SIGN IN""))",Chrome 121.0.0.0,,,13-02-2024 07:09:47,13-02-2024 07:10:20,32.856s,PASSED
"verifyElementText(findTestObject(""Object Repository/Record/Login/Page_Advantage Shopping/span_testname""), username)",Chrome 121.0.0.0,,,13-02-2024 07:10:20,13-02-2024 07:10:21,1.460s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,13-02-2024 07:10:21,13-02-2024 07:10:22,0.887s,PASSED
Video,Chrome 121.0.0.0,,,13-02-2024 07:10:24,13-02-2024 07:10:24,0.035s,PASSED
,,,,,,,
Test Cases/Login 01 - Sukses,Chrome 121.0.0.0,,,13-02-2024 07:10:25,13-02-2024 07:11:14,49.908s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,13-02-2024 07:10:25,13-02-2024 07:10:26,1.321s,PASSED
"navigateToUrl(""https://advantageonlineshopping.com/#/"")",Chrome 121.0.0.0,,,13-02-2024 07:10:26,13-02-2024 07:10:27,1.185s,PASSED
"click(findTestObject(""Object Repository/Record/Login/Page_Advantage Shopping/svg_CHECKOUT  (0.00)_menuUser""))",Chrome 121.0.0.0,,,13-02-2024 07:10:27,13-02-2024 07:10:36,8.868s,PASSED
"setText(findTestObject(""Object Repository/Record/Login/Page_Advantage Shopping/input_OR_username""), username)",Chrome 121.0.0.0,,,13-02-2024 07:10:36,13-02-2024 07:10:37,1.284s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Record/Login/Page_Advantage Shopping/input_Username_password""), password)",Chrome 121.0.0.0,,,13-02-2024 07:10:37,13-02-2024 07:10:39,1.359s,PASSED
"click(findTestObject(""Object Repository/Record/Login/Page_Advantage Shopping/button_SIGN IN""))",Chrome 121.0.0.0,,,13-02-2024 07:10:39,13-02-2024 07:11:11,31.809s,PASSED
"verifyElementText(findTestObject(""Object Repository/Record/Login/Page_Advantage Shopping/span_testname""), username)",Chrome 121.0.0.0,,,13-02-2024 07:11:11,13-02-2024 07:11:12,1.159s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,13-02-2024 07:11:12,13-02-2024 07:11:12,0.581s,PASSED
Video,Chrome 121.0.0.0,,,13-02-2024 07:11:14,13-02-2024 07:11:14,0.002s,PASSED
,,,,,,,
Test Cases/Login 01 - Sukses,Chrome 121.0.0.0,,,13-02-2024 07:11:14,13-02-2024 07:12:00,45.319s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,13-02-2024 07:11:14,13-02-2024 07:11:15,0.945s,PASSED
"navigateToUrl(""https://advantageonlineshopping.com/#/"")",Chrome 121.0.0.0,,,13-02-2024 07:11:15,13-02-2024 07:11:17,1.971s,PASSED
"click(findTestObject(""Object Repository/Record/Login/Page_Advantage Shopping/svg_CHECKOUT  (0.00)_menuUser""))",Chrome 121.0.0.0,,,13-02-2024 07:11:17,13-02-2024 07:11:19,1.953s,PASSED
"setText(findTestObject(""Object Repository/Record/Login/Page_Advantage Shopping/input_OR_username""), username)",Chrome 121.0.0.0,,,13-02-2024 07:11:19,13-02-2024 07:11:22,2.221s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Record/Login/Page_Advantage Shopping/input_Username_password""), password)",Chrome 121.0.0.0,,,13-02-2024 07:11:22,13-02-2024 07:11:23,1.485s,PASSED
"click(findTestObject(""Object Repository/Record/Login/Page_Advantage Shopping/button_SIGN IN""))",Chrome 121.0.0.0,,,13-02-2024 07:11:23,13-02-2024 07:11:55,31.983s,PASSED
"verifyElementText(findTestObject(""Object Repository/Record/Login/Page_Advantage Shopping/span_testname""), username)",Chrome 121.0.0.0,,,13-02-2024 07:11:55,13-02-2024 07:11:57,1.703s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,13-02-2024 07:11:57,13-02-2024 07:11:58,0.902s,PASSED
Video,Chrome 121.0.0.0,,,13-02-2024 07:12:00,13-02-2024 07:12:00,0.002s,PASSED
,,,,,,,
Test Cases/Login 02 - Gagal,Chrome 121.0.0.0,,,13-02-2024 07:12:00,13-02-2024 07:12:26,26.694s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,13-02-2024 07:12:00,13-02-2024 07:12:01,0.972s,PASSED
"navigateToUrl(""https://advantageonlineshopping.com/#/"")",Chrome 121.0.0.0,,,13-02-2024 07:12:01,13-02-2024 07:12:05,3.827s,PASSED
"click(findTestObject(""Spy/Homepage/Page_Advantage Shopping/userIcon""))",Chrome 121.0.0.0,,,13-02-2024 07:12:05,13-02-2024 07:12:12,6.815s,PASSED
delay(4),Chrome 121.0.0.0,,,13-02-2024 07:12:12,13-02-2024 07:12:16,4.299s,PASSED
"setText(findTestObject(""Spy/Homepage/Page_Advantage Shopping/usernameInput""), username)",Chrome 121.0.0.0,,,13-02-2024 07:12:16,13-02-2024 07:12:17,0.857s,PASSED
"setEncryptedText(findTestObject(""Spy/Homepage/Page_Advantage Shopping/passwordInput""), password)",Chrome 121.0.0.0,,,13-02-2024 07:12:17,13-02-2024 07:12:18,1.429s,PASSED
"click(findTestObject(""Spy/Homepage/Page_Advantage Shopping/signInButton""))",Chrome 121.0.0.0,,,13-02-2024 07:12:18,13-02-2024 07:12:19,0.571s,PASSED
"verifyTextPresent(""Incorrect user name or password."", false)",Chrome 121.0.0.0,,,13-02-2024 07:12:19,13-02-2024 07:12:20,1.117s,PASSED
delay(4),Chrome 121.0.0.0,,,13-02-2024 07:12:20,13-02-2024 07:12:24,4.026s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,13-02-2024 07:12:24,13-02-2024 07:12:24,0.433s,PASSED
Video,Chrome 121.0.0.0,,,13-02-2024 07:12:26,13-02-2024 07:12:26,0.010s,PASSED
